,blueWins,league,season,blueTeam,redTeam,blueTopChamp,redTopChamp,blueJungleChamp,redJungleChamp,blueMiddleChamp,redMiddleChamp,blueADCChamp,redADCChamp,blueSupportChamp,redSupportChamp,golddiffTeam20,golddiffTop20,golddiffJungle20,golddiffMiddle20,golddiffADC20,golddiffSupport20,rKills20,bKills20,rTowers20,bTowers20,rInhibs20,bInhibs20
1523,0,EULCS,2016 Summer,ROC,FNC,18.4,46.1,53.0,63.6,6.0,48.4,35.9,31.3,17.1,72.8,-2355,-191,-1904,-873,377,236,9,9,3,4,0,0
1524,1,EULCS,2016 Summer,FNC,ROC,58.5,66.8,45.2,53.0,48.4,37.3,23.0,37.8,72.8,49.8,4437,1470,1256,948,514,249,2,7,3,4,0,0
1525,0,EULCS,2016 Summer,H2K,UOL,46.1,37.8,53.0,63.6,37.3,72.8,35.9,31.3,9.2,49.8,-3404,-2096,-611,-1129,760,-328,7,5,5,2,0,0
1526,1,EULCS,2016 Summer,UOL,H2K,46.1,66.8,61.3,45.2,80.6,72.8,31.3,6.9,9.2,17.1,2076,69,655,394,714,244,5,6,1,2,0,0
1527,0,EULCS,2016 Summer,SPY,UOL,46.1,58.5,79.7,61.3,72.8,6.5,44.2,35.9,63.6,49.8,-3727,-911,260,-1989,-385,-702,8,0,2,1,0,0
1528,0,EULCS,2016 Summer,UOL,SPY,66.8,46.1,61.3,79.7,12.0,48.4,35.9,37.8,17.1,72.8,-1980,-91,-2520,980,-167,-182,7,6,3,2,0,0
1529,1,EULCS,2016 Summer,VIT,S04,37.8,58.5,79.7,63.6,52.5,16.6,59.9,37.8,63.6,17.1,1244,1300,-30,-125,99,0,4,6,2,2,0,0
1530,1,EULCS,2016 Summer,S04,VIT,46.1,2.8,5.5,63.6,16.6,6.0,59.9,44.2,72.8,63.6,-3136,-568,-362,-517,-1391,-298,4,2,5,4,0,0
1531,0,EULCS,2016 Summer,FNC,G2,58.5,46.1,5.5,45.2,37.3,11.1,23.0,35.9,72.8,63.6,-571,-1127,181,104,356,-85,3,2,2,2,0,0
1532,1,EULCS,2016 Summer,G2,FNC,46.1,0.9,79.7,63.6,52.5,37.3,31.3,35.9,49.8,12.4,5459,1870,1471,1094,764,260,2,5,3,6,0,0
1533,1,EULCS,2016 Summer,ROC,H2K,46.1,58.5,19.4,53.0,37.3,11.1,37.8,6.9,6.9,49.8,4151,146,1542,1535,346,582,1,5,2,4,0,0
1534,1,EULCS,2016 Summer,H2K,ROC,37.8,46.1,61.3,12.9,52.5,37.3,37.8,35.9,49.8,9.2,-285,893,-467,-604,-173,66,5,3,3,4,0,0
1535,0,EULCS,2016 Summer,VIT,SPY,45.2,66.8,63.6,61.3,37.3,48.4,59.9,37.8,63.6,72.8,1581,257,-122,392,542,512,0,3,2,3,0,0
1536,1,EULCS,2016 Summer,SPY,VIT,37.8,53.0,63.6,61.3,48.4,72.8,37.8,35.9,49.8,2.8,-99,-23,-76,363,66,-429,4,2,3,1,0,0
1537,1,EULCS,2016 Summer,GIA,FNC,16.6,46.1,79.7,63.6,37.3,12.4,31.3,35.9,63.6,17.1,5056,443,1707,947,1346,613,0,4,0,1,0,0
1538,0,EULCS,2016 Summer,FNC,GIA,46.1,16.6,45.2,61.3,52.5,37.3,59.9,35.9,49.8,17.1,-4735,-267,-1374,-2394,-33,-667,9,4,5,2,0,0
1539,0,EULCS,2016 Summer,ROC,GIA,9.2,6.9,12.9,61.3,16.6,12.4,44.2,35.9,72.8,63.6,-407,-617,-562,-130,902,0,2,1,3,4,0,0
1540,1,EULCS,2016 Summer,GIA,ROC,6.9,2.3,79.7,53.0,72.8,48.4,35.9,44.2,63.6,49.8,-1274,154,94,-487,-564,-471,5,3,3,3,0,0
1541,0,EULCS,2016 Summer,H2K,OG,46.1,58.5,63.6,45.2,48.4,6.0,23.0,44.2,17.1,72.8,1942,346,817,-183,711,251,1,3,3,4,0,0
1542,0,EULCS,2016 Summer,OG,H2K,66.8,58.5,45.2,63.6,72.8,37.3,44.2,23.0,9.2,17.1,-6274,-1846,-2457,-1659,-649,337,8,4,4,1,0,0
1543,1,EULCS,2016 Summer,UOL,S04,58.5,46.1,61.3,63.6,37.3,12.4,37.8,35.9,17.1,72.8,1071,770,-76,410,-386,353,3,2,2,4,0,0
1544,1,EULCS,2016 Summer,S04,UOL,46.1,66.8,63.6,61.3,48.4,12.0,35.9,37.8,72.8,17.1,885,-429,1046,-347,167,448,2,3,2,3,0,0
1545,0,EULCS,2016 Summer,G2,OG,46.1,37.8,61.3,63.6,11.1,37.3,59.9,44.2,72.8,63.6,-1223,24,-936,-553,511,-269,2,1,3,2,0,0
1546,0,EULCS,2016 Summer,OG,G2,58.5,66.8,61.3,45.2,5.1,12.0,44.2,59.9,49.8,72.8,-3446,-1158,-1726,479,-805,-236,12,7,2,3,0,0
1547,1,EULCS,2016 Summer,FNC,VIT,6.9,9.2,7.4,63.6,80.6,12.4,44.2,59.9,17.1,72.8,-3017,-1093,-326,-821,-124,-653,5,3,3,1,0,0
1548,0,EULCS,2016 Summer,VIT,FNC,37.8,58.5,63.6,61.3,12.4,11.1,31.3,59.9,63.6,17.1,-2714,423,-1092,80,-1908,-217,4,0,4,2,0,0
1549,0,EULCS,2016 Summer,ROC,SPY,18.4,37.8,5.5,79.7,80.6,28.6,44.2,59.9,63.6,17.1,-2822,-1539,-1618,378,-50,7,4,2,2,1,0,0
1550,1,EULCS,2016 Summer,SPY,ROC,15.2,46.1,61.3,19.4,48.4,37.3,35.9,37.8,72.8,6.9,4950,2402,695,1127,432,294,4,6,1,4,0,0
1551,0,EULCS,2016 Summer,S04,H2K,66.8,9.2,61.3,12.9,52.5,37.3,37.8,59.9,17.1,72.8,-2190,-385,-377,-66,-731,-631,3,0,4,3,0,0
1552,1,EULCS,2016 Summer,H2K,S04,46.1,66.8,63.6,61.3,37.3,28.6,37.8,59.9,49.8,72.8,6035,538,1326,1284,2385,502,0,5,3,6,0,0
1553,0,EULCS,2016 Summer,OG,VIT,58.5,46.1,61.3,53.0,37.3,48.4,35.9,59.9,72.8,6.9,-418,437,-120,791,-823,-703,3,3,3,3,0,0
1554,1,EULCS,2016 Summer,VIT,OG,37.8,66.8,53.0,63.6,52.5,37.3,59.9,23.0,17.1,72.8,1931,58,111,724,858,180,5,5,2,4,0,0
1555,1,EULCS,2016 Summer,G2,ROC,58.5,9.2,53.0,61.3,52.5,80.6,31.3,35.9,72.8,9.2,590,293,-339,307,319,10,1,0,2,3,0,0
1556,0,EULCS,2016 Summer,ROC,G2,66.8,22.6,19.4,61.3,15.2,48.4,35.9,44.2,9.2,49.8,-5697,-2690,-1158,-204,-558,-1087,10,4,4,3,0,0
1557,0,EULCS,2016 Summer,S04,SPY,46.1,15.2,53.0,61.3,48.4,28.6,31.3,35.9,17.1,72.8,-2219,-632,-932,654,-222,-1087,2,1,2,2,0,0
1558,1,EULCS,2016 Summer,SPY,S04,37.8,45.2,53.0,7.4,28.6,48.4,59.9,35.9,72.8,9.2,273,-419,-112,-771,914,661,4,10,4,2,0,0
1559,0,EULCS,2016 Summer,OG,UOL,16.6,46.1,45.2,79.7,28.6,37.3,35.9,31.3,49.8,63.6,-2461,-115,406,-434,-1726,-592,10,9,2,0,0,0
1560,1,EULCS,2016 Summer,UOL,OG,46.1,15.7,61.3,79.7,37.3,6.0,59.9,31.3,12.4,63.6,1314,505,90,249,417,53,3,3,2,2,0,0
1561,0,EULCS,2016 Summer,G2,GIA,66.8,9.2,0.5,63.6,72.8,80.6,44.2,35.9,22.6,63.6,1034,318,-589,-49,826,528,3,2,2,3,0,0
1562,0,EULCS,2016 Summer,GIA,G2,66.8,6.9,53.0,61.3,6.5,80.6,44.2,35.9,72.8,9.2,-1691,217,257,-354,-1643,-168,9,7,3,2,0,0
1563,0,EULCS,2016 Summer,UOL,FNC,58.5,6.9,61.3,45.2,37.3,52.5,31.3,23.0,9.2,63.6,3092,1124,-503,936,947,588,4,5,1,3,0,0
1564,0,EULCS,2016 Summer,FNC,UOL,58.5,46.1,79.7,63.6,80.6,6.5,23.0,31.3,72.8,63.6,1134,119,2983,-821,-518,-629,3,5,3,2,0,0
1565,1,EULCS,2016 Summer,GIA,H2K,9.2,6.9,45.2,61.3,11.1,37.3,59.9,6.9,72.8,63.6,-4462,-850,-1394,-669,-906,-643,4,1,3,0,0,0
1566,0,EULCS,2016 Summer,H2K,GIA,46.1,45.2,63.6,79.7,37.3,11.1,31.3,23.0,72.8,63.6,-2688,-315,-809,-527,-329,-708,2,3,3,2,0,0
1567,1,EULCS,2016 Summer,UOL,GIA,7.4,9.2,53.0,61.3,37.3,72.8,31.3,35.9,12.4,63.6,4913,1312,15,1415,632,1539,5,11,2,5,0,1
1568,0,EULCS,2016 Summer,GIA,UOL,37.8,46.1,45.2,63.6,28.6,52.5,31.3,23.0,72.8,49.8,-4018,-304,-1281,-1530,-930,27,5,3,3,2,0,0
1569,0,EULCS,2016 Summer,ROC,VIT,46.1,2.8,63.6,61.3,48.4,52.5,44.2,35.9,72.8,2.8,-3359,-506,-755,-1037,154,-1215,4,3,3,2,0,0
1570,1,EULCS,2016 Summer,VIT,ROC,37.8,66.8,53.0,63.6,52.5,80.6,35.9,44.2,2.8,63.6,-4218,-202,-1027,-569,-1803,-617,7,2,4,2,0,0
1571,1,EULCS,2016 Summer,FNC,H2K,37.8,22.6,79.7,61.3,37.3,12.4,35.9,37.8,66.8,63.6,-417,-931,1180,-254,-229,-183,2,0,3,3,0,0
1572,0,EULCS,2016 Summer,H2K,FNC,6.9,46.1,61.3,45.2,15.2,48.4,35.9,59.9,72.8,63.6,-4722,-386,-1400,-814,-1314,-808,10,4,4,2,0,0
1573,0,EULCS,2016 Summer,UOL,VIT,7.4,9.2,79.7,45.2,37.3,2.8,23.0,59.9,12.4,72.8,-311,-81,-371,-464,247,358,5,3,2,3,0,0
1574,0,EULCS,2016 Summer,VIT,UOL,46.1,66.8,45.2,53.0,33.6,80.6,59.9,31.3,6.9,72.8,-1125,-1010,-789,-240,967,-53,4,2,4,2,0,0
1575,1,EULCS,2016 Summer,G2,H2K,22.6,46.1,53.0,61.3,48.4,37.3,59.9,37.8,72.8,49.8,946,-1155,-76,780,1182,215,4,4,2,3,0,0
1576,0,EULCS,2016 Summer,H2K,G2,9.2,46.1,12.9,61.3,80.6,52.5,44.2,59.9,72.8,22.6,-7395,-1354,-2367,-1445,-1309,-920,7,1,7,3,0,0
1577,1,EULCS,2016 Summer,OG,ROC,66.8,46.1,63.6,53.0,48.4,80.6,31.3,59.9,63.6,72.8,3919,816,571,1439,80,1013,0,6,1,4,0,0
1578,0,EULCS,2016 Summer,ROC,OG,58.5,66.8,63.6,53.0,80.6,12.4,59.9,35.9,6.9,63.6,460,328,88,-1826,1556,314,5,2,3,6,0,1
1579,0,EULCS,2016 Summer,G2,SPY,6.9,58.5,45.2,61.3,22.6,33.6,35.9,37.8,66.8,63.6,-1188,-707,-353,652,-13,-767,6,4,1,1,0,0
1580,0,EULCS,2016 Summer,SPY,G2,58.5,22.6,61.3,45.2,28.6,37.3,37.8,59.9,72.8,63.6,-155,-282,1071,-680,-389,125,2,3,3,2,0,0
1581,1,EULCS,2016 Summer,OG,S04,58.5,46.1,45.2,63.6,48.4,37.3,59.9,44.2,63.6,66.8,-1025,-623,-120,-435,-156,309,1,2,3,3,0,0
1582,1,EULCS,2016 Summer,S04,OG,9.2,46.1,63.6,61.3,33.6,37.3,44.2,59.9,66.8,63.6,1136,693,469,477,-618,115,4,2,2,4,0,0
1583,0,EULCS,2016 Summer,GIA,SPY,45.2,22.6,63.6,61.3,37.3,48.4,59.9,44.2,72.8,17.1,1900,117,128,528,422,705,3,6,2,3,0,0
1584,1,EULCS,2016 Summer,SPY,GIA,37.8,9.2,45.2,61.3,15.2,48.4,59.9,44.2,49.8,63.6,5812,1743,1503,988,816,762,4,9,1,3,0,0
1585,1,EULCS,2016 Summer,S04,FNC,9.2,46.1,63.6,61.3,80.6,48.4,59.9,44.2,66.8,63.6,-3749,-1480,-486,-437,-593,-753,1,0,2,0,0,0
1586,1,EULCS,2016 Summer,FNC,S04,37.8,22.6,45.2,61.3,11.1,37.3,44.2,59.9,66.8,63.6,4259,1006,1686,377,964,226,1,4,2,3,0,0
1587,0,EULCS,2016 Summer,FNC,SPY,46.1,10.1,12.9,53.0,72.8,28.6,23.0,35.9,66.8,63.6,2432,303,780,743,540,66,1,4,2,4,0,0
1588,1,EULCS,2016 Summer,SPY,FNC,10.1,46.1,63.6,7.4,33.6,37.3,59.9,35.9,17.1,63.6,3807,787,527,1086,957,450,0,3,2,3,0,0
1589,0,EULCS,2016 Summer,OG,GIA,22.6,10.1,45.2,53.0,48.4,33.6,59.9,44.2,6.9,12.4,-3595,-291,-264,-1616,-1012,-412,6,0,4,3,0,0
1590,1,EULCS,2016 Summer,GIA,OG,10.1,22.6,53.0,63.6,80.6,72.8,59.9,44.2,12.4,63.6,298,-432,21,177,532,0,2,6,2,2,0,0
1591,0,EULCS,2016 Summer,S04,ROC,58.5,22.6,63.6,53.0,33.6,16.6,59.9,35.9,63.6,12.4,-3151,-687,-369,-1376,-501,-218,4,2,3,1,0,0
1592,1,EULCS,2016 Summer,ROC,S04,6.9,46.1,61.3,45.2,33.6,22.6,44.2,59.9,12.4,6.9,1065,651,613,-120,-95,16,3,3,1,2,0,0
1593,0,EULCS,2016 Summer,H2K,SPY,37.8,45.2,61.3,63.6,80.6,12.4,44.2,37.8,72.8,49.8,-1163,34,364,-1401,-16,-144,4,5,3,2,0,0
1594,1,EULCS,2016 Summer,SPY,H2K,58.5,37.8,61.3,53.0,33.6,72.8,44.2,59.9,66.8,63.6,1318,251,897,796,30,-656,3,7,3,3,0,0
1595,1,EULCS,2016 Summer,G2,S04,66.8,10.1,53.0,61.3,80.6,28.6,59.9,44.2,22.6,12.4,2858,704,761,732,600,61,2,3,3,5,0,0
1596,0,EULCS,2016 Summer,S04,G2,46.1,58.5,53.0,63.6,80.6,12.0,23.0,31.3,72.8,63.6,-1393,957,-845,-404,-671,-430,3,1,3,3,0,0
1597,1,EULCS,2016 Summer,OG,FNC,22.6,37.8,53.0,63.6,12.4,80.6,31.3,59.9,66.8,0.9,3259,669,256,2028,-474,780,7,15,4,5,0,0
1598,1,EULCS,2016 Summer,FNC,OG,37.8,22.6,6.9,53.0,48.4,6.0,59.9,31.3,72.8,63.6,4896,-98,2243,498,1907,346,4,7,0,3,0,0
1599,1,EULCS,2016 Summer,H2K,VIT,33.6,58.5,12.9,53.0,80.6,28.6,59.9,44.2,72.8,0.9,232,194,745,264,-288,-683,1,0,0,2,0,0
1600,1,EULCS,2016 Summer,G2,UOL,66.8,58.5,79.7,12.9,33.6,6.5,31.3,0.5,22.6,72.8,7945,1834,3442,77,1606,986,3,13,2,6,0,0
1601,0,EULCS,2016 Summer,UOL,G2,58.5,10.1,53.0,63.6,80.6,28.6,59.9,44.2,49.8,66.8,-5245,-1012,-584,-1211,-1515,-923,8,3,3,1,0,0
1602,1,EULCS,2016 Summer,GIA,VIT,9.2,37.8,53.0,61.3,28.6,80.6,44.2,59.9,66.8,72.8,2049,509,419,-92,1005,208,0,4,2,3,0,0
1603,0,EULCS,2016 Summer,VIT,GIA,58.5,66.8,63.6,61.3,33.6,37.3,44.2,59.9,9.2,12.4,-1500,-680,-761,-630,642,-71,4,2,2,2,0,0
1604,1,EULCS,2016 Summer,UOL,ROC,37.8,22.6,12.9,79.7,80.6,16.6,31.3,35.9,63.6,12.4,-413,1456,-1012,-323,-394,-140,1,3,2,2,0,0
1605,0,EULCS,2016 Summer,ROC,UOL,22.6,66.8,61.3,53.0,80.6,37.3,35.9,23.0,12.4,63.6,-1196,-735,-405,-154,92,6,7,3,3,3,0,0
1606,1,EULCS,2016 Summer,G2,VIT,58.5,10.1,12.9,45.2,33.6,72.8,59.9,31.3,12.4,22.6,-509,-573,-124,296,141,-249,2,1,2,2,0,0
1607,1,EULCS,2016 Summer,VIT,G2,10.1,22.6,53.0,12.9,2.8,80.6,31.3,35.9,66.8,72.8,2948,1586,-183,272,967,306,6,10,1,3,0,0
1608,0,EULCS,2016 Summer,OG,SPY,66.8,58.5,63.6,61.3,15.2,12.0,6.0,4.6,0.5,22.6,-2602,-369,-599,-1017,-243,-374,6,3,3,1,0,0
1609,1,EULCS,2016 Summer,SPY,OG,58.5,22.6,61.3,53.0,28.6,37.3,4.6,6.0,49.8,63.6,3407,-32,914,1213,507,805,3,4,2,4,0,0
1610,0,EULCS,2016 Summer,UOL,H2K,66.8,58.5,53.0,12.9,28.6,12.0,59.9,44.2,12.4,63.6,-4129,-311,-1250,-2119,-276,-173,8,2,3,2,0,0
1611,1,EULCS,2016 Summer,H2K,UOL,58.5,22.6,12.9,63.6,12.0,37.3,4.6,59.9,63.6,66.8,5068,1078,1085,602,1812,491,1,9,2,4,0,0
1612,1,EULCS,2016 Summer,GIA,ROC,9.2,58.5,53.0,61.3,80.6,72.8,59.9,37.8,12.4,66.8,-773,169,-498,-478,-131,165,4,5,2,2,0,0
1613,0,EULCS,2016 Summer,ROC,GIA,58.5,9.2,53.0,79.7,72.8,12.4,59.9,23.0,22.6,12.4,-1629,-451,-953,6,139,-370,1,1,3,2,0,0
1614,1,EULCS,2016 Summer,UOL,SPY,58.5,22.6,12.9,63.6,28.6,0.5,31.3,59.9,12.4,22.6,127,-689,-229,1007,309,-271,5,6,3,4,0,0
1615,0,EULCS,2016 Summer,SPY,UOL,0.5,37.8,12.9,61.3,12.0,80.6,35.9,44.2,1.8,63.6,2354,-889,632,921,978,712,10,16,2,1,0,0
1616,1,EULCS,2016 Summer,G2,FNC,58.5,9.2,12.9,45.2,80.6,28.6,4.6,59.9,12.4,12.4,2153,682,531,388,180,372,1,4,2,3,0,0
1617,0,EULCS,2016 Summer,FNC,G2,58.5,22.6,6.9,53.0,80.6,11.1,6.0,59.9,63.6,49.8,335,-616,722,39,-211,401,6,6,1,1,0,0
1618,1,EULCS,2016 Summer,FNC,ROC,58.5,46.1,53.0,61.3,72.8,28.6,6.0,35.9,22.6,12.4,3963,721,2009,650,316,267,8,11,2,3,0,0
1619,1,EULCS,2016 Summer,ROC,FNC,58.5,22.6,61.3,53.0,52.5,37.3,44.2,35.9,66.8,63.6,3610,659,1247,1281,60,363,1,3,2,5,0,0
1620,0,EULCS,2016 Summer,S04,GIA,58.5,66.8,0.5,53.0,52.5,12.4,59.9,6.0,72.8,12.4,-3101,-1430,-966,-396,401,-710,5,5,4,2,0,0
1621,0,EULCS,2016 Summer,GIA,S04,10.1,46.1,61.3,7.4,52.5,80.6,6.0,44.2,66.8,22.6,251,-709,548,50,39,323,1,1,3,2,0,0
1622,0,EULCS,2016 Summer,S04,VIT,58.5,66.8,7.4,12.9,33.6,2.8,44.2,31.3,72.8,12.4,1869,789,606,-446,1000,-80,2,6,1,3,0,0
1623,0,EULCS,2016 Summer,VIT,S04,58.5,10.1,12.9,5.5,80.6,52.5,31.3,44.2,66.8,72.8,-552,-295,-640,224,173,-14,3,3,3,2,0,0
1624,0,EULCS,2016 Summer,OG,H2K,10.1,46.1,45.2,63.6,33.6,15.2,23.0,44.2,63.6,66.8,-3450,-170,-1119,-832,-820,-509,7,2,5,3,0,0
1625,1,EULCS,2016 Summer,H2K,OG,33.6,46.1,12.9,61.3,12.0,6.0,4.6,6.0,63.6,22.6,3940,420,411,1160,1426,523,4,7,1,5,0,0
1626,1,EULCS,2016 Summer,VIT,S04,10.1,46.1,53.0,7.4,2.8,80.6,35.9,44.2,66.8,12.4,-2986,-486,-746,-423,-706,-625,3,1,3,2,0,0
1627,1,EULCS,2016 Summer,H2K,FNC,58.5,46.1,61.3,45.2,80.6,52.5,4.6,59.9,12.4,72.8,2132,535,469,353,14,761,0,5,2,3,0,0
1628,0,EULCS,2016 Spring,VIT,FNC,20.9,14.8,33.9,41.7,28.7,7.8,77.4,32.2,51.3,38.3,-430,98,-1073,45,297,203,1,0,2,3,0,0
1629,1,EULCS,2016 Spring,FNC,VIT,65.2,16.5,41.7,33.9,50.4,28.7,27.0,10.4,82.6,51.3,6124,1042,1196,1380,1837,669,1,7,0,4,0,0
1630,1,EULCS,2016 Spring,VIT,FNC,14.8,20.9,53.0,33.9,67.8,28.7,27.0,10.4,18.3,82.6,2420,278,404,105,643,990,1,4,3,4,0,0
1631,1,EULCS,2016 Spring,FNC,VIT,20.9,33.9,54.8,53.0,50.4,67.8,10.4,27.0,51.3,82.6,-1333,-665,304,181,-630,-523,4,3,3,2,0,0
1632,1,EULCS,2016 Spring,OG,UOL,33.9,65.2,41.7,67.8,8.7,50.4,77.4,32.2,82.6,60.9,1125,165,-888,675,1026,147,4,6,2,4,0,0
1633,1,EULCS,2016 Spring,OG,UOL,65.2,67.8,33.9,32.2,5.2,50.4,10.4,77.4,38.3,14.8,-2767,-909,-272,-1219,-70,-297,7,9,3,2,0,0
1634,0,EULCS,2016 Spring,UOL,OG,67.8,65.2,67.8,32.2,74.8,28.7,77.4,27.0,82.6,38.3,2215,442,912,612,236,13,4,3,2,3,0,0
1635,0,EULCS,2016 Spring,OG,H2K,65.2,16.5,41.7,54.8,50.4,7.8,77.4,74.8,14.8,60.9,3389,245,1527,433,884,300,0,7,3,3,0,0
1636,0,EULCS,2016 Spring,H2K,OG,16.5,14.8,54.8,41.7,74.8,4.3,27.0,77.4,14.8,60.9,-2566,40,-1054,-203,-756,-593,7,3,2,2,0,0
1637,1,EULCS,2016 Spring,H2K,OG,16.5,14.8,32.2,54.8,50.4,7.8,27.0,77.4,60.9,82.6,4739,919,666,1334,362,1458,0,2,0,3,0,0
1638,0,EULCS,2016 Spring,H2K,OG,38.3,16.5,53.0,33.9,28.7,77.4,27.0,77.4,82.6,60.9,119,-212,412,561,-564,-78,1,1,3,4,0,0
1639,1,EULCS,2016 Spring,OG,H2K,65.2,16.5,33.9,54.8,8.7,28.7,77.4,27.0,60.9,82.6,1736,184,182,397,787,186,1,0,3,4,0,0
1640,1,EULCS,2016 Spring,G2,FNC,38.3,16.5,54.8,32.2,50.4,7.8,76.5,27.0,51.3,82.6,667,1008,608,0,-1080,131,0,1,2,3,0,0
1641,1,EULCS,2016 Spring,FNC,G2,16.5,65.2,67.8,54.8,17.4,36.5,32.2,77.4,82.6,51.3,3863,1041,1402,1321,123,-24,2,7,4,4,0,0
1642,0,EULCS,2016 Spring,FNC,G2,65.2,38.3,41.7,54.8,50.4,36.5,27.0,77.4,20.9,51.3,-2471,-462,-31,-525,-614,-839,9,8,6,3,0,0
1643,0,EULCS,2016 Spring,FNC,G2,33.9,16.5,54.8,41.7,50.4,36.5,27.0,76.5,51.3,14.8,859,-408,-187,706,1162,-414,6,4,2,3,0,0
1644,0,EULCS,2016 Spring,H2K,FNC,14.8,16.5,41.7,54.8,36.5,28.7,76.5,32.2,51.3,38.3,883,-248,-33,-29,795,398,1,0,1,3,0,0
1645,0,EULCS,2016 Spring,H2K,FNC,14.8,16.5,41.7,54.8,36.5,28.7,76.5,32.2,51.3,38.3,-1719,-214,-1003,-216,-184,-102,3,2,3,3,0,0
1646,1,EULCS,2016 Spring,H2K,FNC,14.8,33.9,41.7,54.8,50.4,7.8,74.8,32.2,82.6,60.9,6089,1135,1006,2281,839,828,1,4,2,6,0,0
1647,1,EULCS,2016 Spring,H2K,FNC,14.8,38.3,41.7,54.8,36.5,1.7,27.0,74.8,60.9,82.6,-107,-14,-358,-191,512,-56,3,4,2,3,0,0
1648,0,EULCS,2016 Spring,H2K,FNC,65.2,14.8,41.7,54.8,36.5,8.7,74.8,32.2,60.9,38.3,2104,362,-65,346,929,532,0,1,2,4,0,0
1649,0,EULCS,2016 Spring,OG,G2,16.5,14.8,41.7,54.8,8.7,28.7,32.2,27.0,38.3,60.9,-4103,-137,-1217,-1194,-430,-1125,9,2,5,1,0,0
1650,1,EULCS,2016 Spring,OG,G2,16.5,38.3,41.7,54.8,8.7,8.7,76.5,27.0,51.3,60.9,4647,56,1953,978,949,711,6,10,3,5,0,0
1651,0,EULCS,2016 Spring,OG,G2,14.8,16.5,41.7,54.8,28.7,17.4,32.2,27.0,60.9,14.8,-4519,-909,177,-1814,-705,-1268,10,4,4,1,0,0
1652,0,EULCS,2016 Spring,OG,G2,33.9,16.5,53.0,41.7,50.4,17.4,27.0,7.8,60.9,14.8,3336,-639,747,2196,859,173,2,10,3,3,0,0
1653,0,EULCS,2016 Summer,GIA,UOL,46.1,2.8,53.0,61.3,80.6,52.5,35.9,31.3,72.8,63.6,-6503,-2207,-1772,-323,-1443,-758,9,2,3,1,0,0
1654,0,EULCS,2016 Summer,UOL,GIA,37.8,66.8,5.5,63.6,28.6,18.4,31.3,59.9,12.4,12.4,-2836,-1498,-1150,-598,324,86,9,5,3,1,0,0
1655,1,EULCS,2016 Summer,UOL,GIA,46.1,37.8,61.3,63.6,80.6,12.4,0.9,59.9,49.8,22.6,1493,521,806,-45,671,-460,5,5,1,2,0,0
1656,1,EULCS,2016 Summer,UOL,GIA,37.8,46.1,61.3,63.6,28.6,52.5,44.2,59.9,63.6,12.4,7737,1395,1774,925,2178,1465,2,10,1,4,0,0
1657,1,EULCS,2016 Summer,H2K,FNC,18.4,22.6,63.6,79.7,80.6,9.2,4.6,59.9,12.4,63.6,1589,1225,423,-421,255,107,0,3,1,2,0,0
1658,0,EULCS,2016 Summer,FNC,H2K,46.1,22.6,5.5,79.7,9.2,80.6,44.2,59.9,63.6,12.4,-4189,-480,-1368,-1194,-621,-526,7,0,4,3,0,0
1659,1,EULCS,2016 Summer,H2K,FNC,58.5,22.6,12.9,79.7,80.6,12.4,59.9,44.2,12.4,66.8,-182,-474,-852,-87,721,510,2,6,2,1,0,0
1660,1,EULCS,2016 Summer,H2K,SPY,18.4,46.1,61.3,53.0,15.2,80.6,44.2,31.3,12.4,22.6,4920,635,1316,1295,1036,638,1,5,0,3,0,0
1661,0,EULCS,2016 Summer,H2K,SPY,18.4,46.1,61.3,53.0,80.6,15.2,31.3,35.9,12.4,22.6,-772,-562,610,-119,-526,-175,1,0,1,1,0,0
1662,1,EULCS,2016 Summer,H2K,SPY,22.6,46.1,61.3,53.0,80.6,15.2,31.3,35.9,22.6,63.6,2264,-126,208,176,1695,311,1,2,1,2,0,0
1663,0,EULCS,2016 Summer,H2K,SPY,22.6,46.1,61.3,53.0,80.6,33.6,31.3,59.9,22.6,72.8,-1515,-964,-399,371,-288,-235,6,2,2,2,0,0
1664,0,EULCS,2016 Summer,H2K,SPY,22.6,46.1,61.3,53.0,80.6,33.6,44.2,59.9,72.8,22.6,-1278,-1821,-55,433,217,-52,3,1,1,1,0,0
1665,1,EULCS,2016 Summer,G2,UOL,22.6,46.1,61.3,63.6,80.6,6.5,35.9,31.3,22.6,63.6,1433,-785,2054,-556,650,70,7,5,2,1,0,0
1666,1,EULCS,2016 Summer,UOL,G2,58.5,46.1,53.0,61.3,28.6,9.2,44.2,59.9,12.4,66.8,2602,-358,-81,607,1002,1432,3,8,1,3,0,0
1667,0,EULCS,2016 Summer,UOL,G2,58.5,46.1,53.0,61.3,12.0,15.2,44.2,59.9,12.4,3.7,-2679,159,-1506,338,-1137,-533,7,6,1,2,0,0
1668,1,EULCS,2016 Summer,G2,UOL,46.1,37.8,63.6,53.0,33.6,80.6,4.6,59.9,63.6,12.4,6884,1739,1766,106,1880,1393,1,10,0,4,0,0
1669,0,EULCS,2016 Summer,UOL,H2K,22.6,58.5,61.3,53.0,80.6,12.4,31.3,59.9,22.6,72.8,-1600,498,-619,-673,-757,-49,5,4,2,0,0,0
1670,1,EULCS,2016 Summer,UOL,H2K,46.1,58.5,61.3,53.0,80.6,12.4,44.2,31.3,66.8,22.6,-1561,-107,130,-1049,-217,-318,6,1,2,2,0,0
