,blueWins,league,season,blueTeam,redTeam,blueTopChamp,redTopChamp,blueJungleChamp,redJungleChamp,blueMiddleChamp,redMiddleChamp,blueADCChamp,redADCChamp,blueSupportChamp,redSupportChamp,golddiffTeam20,golddiffTop20,golddiffJungle20,golddiffMiddle20,golddiffADC20,golddiffSupport20,rKills20,bKills20,rTowers20,bTowers20,rInhibs20,bInhibs20
277,1,NALCS,2016 Spring,TSM,FOX,70.8,26.5,69.0,61.9,6.2,8.8,57.5,81.4,58.4,9.7,312,-175,510,46,235,-304,3,0,2,2,0,0
278,1,NALCS,2016 Spring,NRG,TIP,15.0,69.0,36.3,83.2,21.2,31.9,76.1,20.4,29.2,23.9,627,-1164,-438,500,1102,627,5,6,2,3,0,0
279,1,NALCS,2016 Spring,IMT,TL,15.9,15.0,36.3,61.9,69.9,76.1,23.0,81.4,35.4,58.4,6298,2582,1609,1033,405,669,4,7,3,4,0,0
280,1,NALCS,2016 Spring,C9,NRG,70.8,77.9,1.8,36.3,10.6,8.0,81.4,57.5,23.9,35.4,1068,-1142,252,1588,475,-105,0,2,3,2,0,0
281,0,NALCS,2016 Spring,REN,TSM,44.2,46.9,83.2,38.9,10.6,69.9,1.8,81.4,45.1,58.4,4168,1667,686,-570,1473,912,6,8,2,4,0,0
282,0,NALCS,2016 Spring,TIP,CLG,13.3,44.2,61.9,36.3,76.1,14.2,57.5,81.4,29.2,69.9,-6159,-2027,-1275,-609,-1266,-982,8,2,5,2,0,0
283,1,NALCS,2016 Spring,DIG,FOX,26.5,44.2,83.2,61.9,69.9,76.1,57.5,81.4,29.2,70.8,1145,-19,794,-587,1107,-150,3,3,2,3,0,0
284,1,NALCS,2016 Spring,FOX,REN,15.0,13.3,61.9,36.3,76.1,69.9,23.0,81.4,58.4,70.8,2963,151,667,1496,888,-239,1,3,3,5,0,0
285,0,NALCS,2016 Spring,NRG,CLG,15.0,46.9,38.9,61.9,76.1,21.2,20.4,57.5,45.1,23.9,-810,609,-737,418,-777,-323,1,0,2,2,0,0
286,1,NALCS,2016 Spring,C9,TL,15.0,13.3,1.8,36.3,76.1,29.2,57.5,81.4,23.9,58.4,3160,783,697,-203,471,1412,2,4,2,4,0,0
287,0,NALCS,2016 Spring,TIP,TSM,19.5,46.9,69.0,38.9,21.2,8.0,20.4,76.1,29.2,58.4,-1087,-664,518,-716,-197,-28,1,4,4,3,0,0
288,1,NALCS,2016 Spring,IMT,DIG,77.9,13.3,36.3,61.9,8.8,8.0,81.4,57.5,25.7,35.4,6160,1402,1776,589,884,1509,6,7,2,5,0,0
289,1,NALCS,2016 Spring,FOX,NRG,15.0,15.0,69.0,0.9,76.1,77.9,23.0,57.5,35.4,45.1,4394,1286,1456,654,546,452,1,8,2,5,0,0
290,0,NALCS,2016 Spring,CLG,TSM,44.2,46.9,36.3,69.0,15.0,31.9,0.9,81.4,23.9,58.4,-5966,-1654,-1279,-1658,-1010,-365,5,0,3,1,0,0
291,1,NALCS,2016 Spring,IMT,C9,13.3,15.0,83.2,21.2,8.8,15.0,81.4,15.9,45.1,58.4,4027,801,1695,-8,987,552,10,11,1,4,0,0
292,1,NALCS,2016 Spring,TL,REN,19.5,15.0,69.0,61.9,76.1,21.2,20.4,81.4,9.7,58.4,6549,490,2132,2402,920,605,1,7,1,4,0,0
293,0,NALCS,2016 Spring,DIG,TIP,70.8,69.0,83.2,36.3,15.0,44.2,57.5,76.1,45.1,29.2,1980,-67,887,750,542,-132,5,4,3,2,0,0
294,1,NALCS,2016 Spring,NRG,DIG,70.8,26.5,83.2,38.9,12.4,69.9,20.4,81.4,58.4,29.2,2248,844,590,-247,694,367,2,0,3,6,0,0
295,0,NALCS,2016 Spring,REN,IMT,15.0,15.9,46.0,0.9,10.6,8.8,23.0,57.5,45.1,25.7,91,-392,-698,505,67,609,1,7,2,2,0,0
296,0,NALCS,2016 Spring,TSM,C9,70.8,77.9,46.0,21.2,21.2,29.2,20.4,81.4,45.1,25.7,-4667,-2378,-902,-1594,539,-332,6,2,2,1,0,0
297,1,NALCS,2016 Spring,CLG,TIP,70.8,77.9,83.2,0.9,21.2,31.9,76.1,57.5,45.1,58.4,8332,871,3110,2576,771,1004,3,10,3,6,0,0
298,0,NALCS,2016 Spring,TL,FOX,70.8,19.5,46.0,61.9,6.2,76.1,20.4,57.5,58.4,45.1,4,-19,-70,-362,449,6,2,3,0,1,0,0
299,0,NALCS,2016 Spring,REN,CLG,77.9,2.7,36.3,46.0,12.4,76.1,57.5,20.4,45.1,29.2,-2195,-1073,242,-1138,172,-398,10,6,5,3,0,0
300,1,NALCS,2016 Spring,DIG,TSM,15.0,13.3,38.9,46.0,76.1,69.9,57.5,23.0,58.4,45.1,-3874,-461,-575,-784,-1515,-539,5,2,4,3,0,0
301,0,NALCS,2016 Spring,NRG,C9,19.5,69.9,69.0,21.2,12.4,29.2,20.4,57.5,58.4,23.9,-8409,-1436,-1898,-2799,-1362,-914,8,5,4,0,0,0
302,0,NALCS,2016 Spring,TIP,FOX,70.8,6.2,61.9,46.0,69.9,77.9,76.1,57.5,45.1,58.4,-2777,-1096,299,-2034,132,-78,4,3,2,2,0,0
