,blueWins,golddiffTeam15,golddiffTop15,golddiffJungle15,golddiffMiddle15,golddiffADC15,golddiffSupport15,rKills15,bKills15,rTowers15,bTowers15,rInhibs15,bInhibs15,league_CBLoL,league_CLS,league_EULCS,league_IEM,league_LCK,league_LCL,league_LJL,league_LLN,league_LMS,league_MSI,league_NALCS,league_OPL,league_RR,league_TCL,league_WC,season_2014 Summer,season_2015 Spring,season_2015 Summer,season_2016 Spring,season_2016 Summer,season_2017 Spring,season_2017 Summer,blueTop_Assassin,blueTop_Fighter,blueTop_Mage,blueTop_Marksman,blueTop_Support,blueTop_Tank,redTop_Assassin,redTop_Fighter,redTop_Mage,redTop_Marksman,redTop_Support,redTop_Tank,blueJungle_Assassin,blueJungle_Fighter,blueJungle_Mage,blueJungle_Marksman,blueJungle_Support,blueJungle_Tank,redJungle_Assassin,redJungle_Fighter,redJungle_Mage,redJungle_Marksman,redJungle_Support,redJungle_Tank,blueMiddle_Assassin,blueMiddle_Fighter,blueMiddle_Mage,blueMiddle_Marksman,blueMiddle_Support,blueMiddle_Tank,redMiddle_Assassin,redMiddle_Fighter,redMiddle_Mage,redMiddle_Marksman,redMiddle_Support,redMiddle_Tank,blueADC_Fighter,blueADC_Mage,blueADC_Marksman,blueADC_Support,blueADC_Tank,redADC_Fighter,redADC_Mage,redADC_Marksman,redADC_Support,blueSupport_Assassin,blueSupport_Fighter,blueSupport_Mage,blueSupport_Marksman,blueSupport_Support,blueSupport_Tank,redSupport_Assassin,redSupport_Fighter,redSupport_Mage,redSupport_Marksman,redSupport_Support,redSupport_Tank
12,1,933,-296,121,-114,760,462,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
13,0,-3055,-525,-1148,-583,-60,-739,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
14,1,2890,717,371,913,793,96,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
15,1,4281,709,133,851,1358,1230,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
16,0,-832,134,-387,-918,377,-38,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
17,1,2353,196,386,720,878,173,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
18,1,2285,487,361,620,188,629,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
19,0,-1560,-197,-353,-268,-483,-259,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
20,0,877,-39,72,736,-302,410,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
21,1,2679,570,712,-188,1167,418,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
